date,description,amount
2025-01-03,LOBLAWS #1042 TORONTO ON,67.42
2025-01-05,TIM HORTONS #8821,6.45
2025-01-06,PRESTO FARE PAYMENT,12.50
2025-01-07,NETFLIX.COM,16.99
2025-01-08,SHELL STATION #445 TORONTO,58.30
2025-01-10,UBER EATS *ORDER,34.18
2025-01-11,METRO GROCERY STORE #22,82.15
2025-01-12,SPOTIFY PREMIUM,11.99
2025-01-14,TORONTO HYDRO ELECTRIC,145.60
2025-01-15,PAYROLL DEPOSIT - CIBC,-3250.00
2025-01-16,AMAZON.CA *MARKETPLACE,29.99
2025-01-17,CINEPLEX ODEON YONGE,24.50
2025-01-18,MCDONALDS #14203,12.87
2025-01-19,NO FRILLS #7801,54.33
2025-01-20,UBER *TRIP HELP,18.45
2025-01-21,ENBRIDGE GAS DISTRIBUTION,98.22
2025-01-22,APPLE.COM/BILL,12.99
2025-01-23,SWISS CHALET #112,42.65
2025-01-24,SOBEYS #340 SCARBOROUGH,91.07
2025-01-25,ROGERS WIRELESS,85.00
2025-01-26,STEAM PURCHASE,59.99
2025-01-27,SHOPPERS DRUG MART #1204,37.88
2025-01-28,PETRO-CANADA #6612,52.17
2025-01-29,INTERAC E-TRANSFER RECEIVED,-150.00
2025-01-30,WHOLE FOODS MARKET #10042,487.93
2025-01-31,CANADIAN TIRE #083,44.12
2025-02-01,LOBLAWS #1042 TORONTO ON,73.56
2025-02-02,TIM HORTONS #8821,5.95
2025-02-03,PRESTO FARE PAYMENT,12.50
2025-02-04,UBER EATS *ORDER,312.50
2025-02-05,AMAZON PRIME MEMBERSHIP,9.99
2025-02-06,BEST BUY #932,899.99
2025-02-07,PAYROLL DEPOSIT - CIBC,-3250.00
2025-02-08,TORONTO HYDRO ELECTRIC,152.30
2025-02-09,METRO GROCERY STORE #22,68.40
2025-02-10,BELL MOBILITY,110.00
2025-02-11,SKIP THE DISHES *ORDER,28.90
2025-02-12,XBOX GAME PASS,16.99
2025-02-13,COSTCO WHOLESALE #478,345.67
2025-02-14,UBER *TRIP HELP,142.80
